report_type,dimension,metric,value
daily_revenue,2024-04-10,total_orders,1.0
daily_revenue,2024-04-11,total_revenue,219.98
daily_revenue,2024-04-11,total_orders,1.0
daily_revenue,2024-04-12,total_revenue,3899.99
daily_revenue,2024-04-12,total_orders,1.0
daily_revenue,2024-04-13,total_revenue,699.98
daily_revenue,2024-04-13,total_orders,1.0
daily_revenue,2024-04-14,total_revenue,119.97
daily_revenue,2024-04-14,total_orders,1.0
daily_revenue,2024-04-15,total_revenue,43.96
daily_revenue,2024-04-15,total_orders,1.0
daily_revenue,2024-04-16,total_revenue,6.5
daily_revenue,2024-04-16,total_orders,1.0
daily_revenue,2024-04-17,total_revenue,399.99
daily_revenue,2024-04-17,total_orders,1.0
daily_revenue,2024-04-18,total_revenue,459.98
daily_revenue,2024-04-18,total_orders,1.0
daily_revenue,2024-04-19,total_revenue,159.99
daily_revenue,2024-04-19,total_orders,1.0
daily_revenue,2024-04-20,total_revenue,59.96
daily_revenue,2024-04-20,total_orders,1.0
daily_revenue,2024-04-21,total_revenue,37.98
daily_revenue,2024-04-21,total_orders,1.0
daily_revenue,2024-04-22,total_revenue,15.0
daily_revenue,2024-04-22,total_orders,1.0
daily_revenue,2024-04-23,total_revenue,689.85
daily_revenue,2024-04-23,total_orders,1.0
daily_revenue,2024-04-24,total_revenue,249.99
daily_revenue,2024-04-24,total_orders,1.0
daily_revenue,2024-04-25,total_revenue,599.9
daily_revenue,2024-04-25,total_orders,1.0
daily_revenue,2024-04-26,total_revenue,149.97
daily_revenue,2024-04-26,total_orders,1.0
daily_revenue,2024-04-27,total_revenue,67.96
daily_revenue,2024-04-27,total_orders,1.0
daily_revenue,2024-04-28,total_revenue,29.98
daily_revenue,2024-04-28,total_orders,1.0
daily_revenue,2024-04-29,total_revenue,249.99
daily_revenue,2024-04-29,total_orders,1.0
daily_revenue,2024-04-30,total_revenue,1199.98
daily_revenue,2024-04-30,total_orders,1.0
daily_revenue,2024-05-01,total_revenue,89.99
daily_revenue,2024-05-01,total_orders,1.0
daily_revenue,2024-05-02,total_revenue,64.95
daily_revenue,2024-05-02,total_orders,1.0
daily_revenue,2024-05-03,total_revenue,44.97
daily_revenue,2024-05-03,total_orders,1.0
daily_revenue,2024-05-04,total_revenue,30.0
daily_revenue,2024-05-04,total_orders,1.0
daily_revenue,2024-05-05,total_revenue,199.99
daily_revenue,2024-05-05,total_orders,1.0
daily_revenue,2024-05-06,total_revenue,499.99
daily_revenue,2024-05-06,total_orders,1.0
daily_revenue,2024-05-07,total_revenue,799.98
daily_revenue,2024-05-07,total_orders,1.0
daily_revenue,2024-05-08,total_revenue,294.0
daily_revenue,2024-05-08,total_orders,1.0
daily_revenue,2024-05-09,total_revenue,17.98
daily_revenue,2024-05-09,total_orders,1.0
daily_revenue,2024-05-10,total_revenue,36.0
daily_revenue,2024-05-10,total_orders,1.0
daily_revenue,2024-05-11,total_revenue,159.8
daily_revenue,2024-05-11,total_orders,1.0
daily_revenue,2024-05-12,total_revenue,1299.99
daily_revenue,2024-05-12,total_orders,1.0
daily_revenue,2024-05-13,total_revenue,159.98
daily_revenue,2024-05-13,total_orders,1.0
daily_revenue,2024-05-14,total_revenue,139.96
daily_revenue,2024-05-14,total_orders,1.0
daily_revenue,2024-05-15,total_revenue,29.97
daily_revenue,2024-05-15,total_orders,1.0
daily_revenue,2024-05-16,total_revenue,6.8
daily_revenue,2024-05-16,total_orders,1.0
daily_revenue,2024-05-17,total_revenue,199.9
daily_revenue,2024-05-17,total_orders,1.0
daily_revenue,2024-05-18,total_revenue,1499.99
daily_revenue,2024-05-18,total_orders,1.0
daily_revenue,2024-05-19,total_revenue,139.99
daily_revenue,2024-05-19,total_orders,1.0
daily_revenue,2024-05-20,total_revenue,134.97
daily_revenue,2024-05-20,total_orders,1.0
daily_revenue,2024-05-21,total_revenue,23.98
daily_revenue,2024-05-21,total_orders,1.0
daily_revenue,2024-05-22,total_revenue,29.5
daily_revenue,2024-05-22,total_orders,1.0
daily_revenue,2024-05-23,total_revenue,299.99
daily_revenue,2024-05-23,total_orders,1.0
daily_revenue,2024-05-24,total_revenue,549.0
daily_revenue,2024-05-24,total_orders,1.0
daily_revenue,2024-05-25,total_revenue,399.9
daily_revenue,2024-05-25,total_orders,1.0
daily_revenue,2024-05-26,total_revenue,196.0
daily_revenue,2024-05-26,total_orders,1.0
daily_revenue,2024-05-27,total_revenue,32.97
daily_revenue,2024-05-27,total_orders,1.0
daily_revenue,2024-05-28,total_revenue,25.0
daily_revenue,2024-05-28,total_orders,1.0
daily_revenue,2024-05-29,total_revenue,299.98
daily_revenue,2024-05-29,total_orders,1.0
daily_revenue,2024-05-30,total_revenue,349.99
daily_revenue,2024-05-30,total_orders,1.0
daily_revenue,2024-05-31,total_revenue,399.98
daily_revenue,2024-05-31,total_orders,1.0
daily_revenue,2024-06-01,total_revenue,164.97
daily_revenue,2024-06-01,total_orders,1.0
daily_revenue,2024-06-02,total_revenue,33.98
daily_revenue,2024-06-02,total_orders,1.0
daily_revenue,2024-06-03,total_revenue,59.0
daily_revenue,2024-06-03,total_orders,1.0
daily_revenue,2024-06-04,total_revenue,299.99
daily_revenue,2024-06-04,total_orders,1.0
daily_revenue,2024-06-05,total_revenue,899.99
daily_revenue,2024-06-05,total_orders,1.0
daily_revenue,2024-06-06,total_revenue,499.95
daily_revenue,2024-06-06,total_orders,1.0
daily_revenue,2024-06-07,total_revenue,99.96
daily_revenue,2024-06-07,total_orders,1.0
daily_revenue,2024-06-08,total_revenue,23.97
daily_revenue,2024-06-08,total_orders,1.0
daily_revenue,2024-06-09,total_revenue,36.0
daily_revenue,2024-06-09,total_orders,1.0
daily_revenue,2024-06-10,total_revenue,69.98
daily_revenue,2024-06-10,total_orders,1.0
daily_revenue,2024-06-11,total_revenue,1199.99
daily_revenue,2024-06-11,total_orders,1.0
daily_revenue,2024-06-12,total_revenue,199.99
daily_revenue,2024-06-12,total_orders,1.0
daily_revenue,2024-06-13,total_revenue,149.95
daily_revenue,2024-06-13,total_orders,1.0
daily_revenue,2024-06-14,total_revenue,35.96
daily_revenue,2024-06-14,total_orders,1.0
daily_revenue,2024-06-15,total_revenue,16.99
daily_revenue,2024-06-15,total_orders,1.0
daily_revenue,2024-06-16,total_revenue,149.97
daily_revenue,2024-06-16,total_orders,1.0
daily_revenue,2024-06-17,total_revenue,699.99
daily_revenue,2024-06-17,total_orders,1.0
daily_revenue,2024-06-18,total_revenue,279.98
daily_revenue,2024-06-18,total_orders,1.0
daily_revenue,2024-06-19,total_revenue,104.97
daily_revenue,2024-06-19,total_orders,1.0
daily_revenue,2024-06-20,total_revenue,19.98
daily_revenue,2024-06-20,total_orders,1.0
daily_revenue,2024-06-21,total_revenue,29.5
daily_revenue,2024-06-21,total_orders,1.0
daily_revenue,2024-06-22,total_revenue,699.99
daily_revenue,2024-06-22,total_orders,1.0
daily_revenue,2024-06-23,total_revenue,149.97
daily_revenue,2024-06-23,total_orders,1.0
daily_revenue,2024-06-24,total_revenue,99.98
daily_revenue,2024-06-24,total_orders,1.0
daily_revenue,2024-06-25,total_revenue,59.6
daily_revenue,2024-06-25,total_orders,1.0
daily_revenue,2024-06-26,total_revenue,35.97
daily_revenue,2024-06-26,total_orders,1.0
daily_revenue,2024-06-27,total_revenue,68.0
daily_revenue,2024-06-27,total_orders,1.0
daily_revenue,2024-06-28,total_revenue,146.0
daily_revenue,2024-06-28,total_orders,1.0
daily_revenue,2024-06-29,total_revenue,649.99
daily_revenue,2024-06-29,total_orders,1.0
daily_revenue,2024-06-30,total_revenue,399.99
daily_revenue,2024-06-30,total_orders,1.0
daily_revenue,2024-07-01,total_revenue,179.97
daily_revenue,2024-07-01,total_orders,1.0
daily_revenue,2024-07-02,total_revenue,25.98
daily_revenue,2024-07-02,total_orders,1.0
daily_revenue,2024-07-03,total_revenue,190.0
daily_revenue,2024-07-03,total_orders,1.0
daily_revenue,2024-07-04,total_revenue,499.95
daily_revenue,2024-07-04,total_orders,1.0
daily_revenue,2024-07-05,total_revenue,399.0
daily_revenue,2024-07-05,total_orders,1.0
daily_revenue,2024-07-06,total_revenue,398.0
daily_revenue,2024-07-06,total_orders,1.0
daily_revenue,2024-07-07,total_revenue,139.96
daily_revenue,2024-07-07,total_orders,1.0
daily_revenue,2024-07-08,total_revenue,32.97
daily_revenue,2024-07-08,total_orders,1.0
daily_revenue,2024-07-09,total_revenue,18.0
daily_revenue,2024-07-09,total_orders,1.0
daily_revenue,2024-07-10,total_revenue,169.95
daily_revenue,2024-07-10,total_orders,1.0
daily_revenue,2024-07-11,total_revenue,199.99
daily_revenue,2024-07-11,total_orders,1.0
daily_revenue,2024-07-12,total_revenue,199.95
daily_revenue,2024-07-12,total_orders,1.0
daily_revenue,2024-07-13,total_revenue,359.98
daily_revenue,2024-07-13,total_orders,1.0
daily_revenue,2024-07-14,total_revenue,23.98
daily_revenue,2024-07-14,total_orders,1.0
daily_revenue,2024-07-15,total_revenue,125.0
daily_revenue,2024-07-15,total_orders,1.0
daily_revenue,2024-07-16,total_revenue,449.99
daily_revenue,2024-07-16,total_orders,1.0
daily_revenue,2024-07-17,total_revenue,358.0
daily_revenue,2024-07-17,total_orders,1.0
daily_revenue,2024-07-18,total_revenue,99.95
daily_revenue,2024-07-18,total_orders,1.0
daily_revenue,2024-07-19,total_revenue,179.97
daily_revenue,2024-07-19,total_orders,1.0
daily_revenue,2024-07-20,total_revenue,29.98
daily_revenue,2024-07-20,total_orders,1.0
daily_revenue,2024-07-21,total_revenue,52.0
daily_revenue,2024-07-21,total_orders,1.0
daily_revenue,2024-07-22,total_revenue,399.99
daily_revenue,2024-07-22,total_orders,1.0
daily_revenue,2024-07-23,total_revenue,299.99
daily_revenue,2024-07-23,total_orders,1.0
daily_revenue,2024-07-24,total_revenue,379.99
daily_revenue,2024-07-24,total_orders,1.0
daily_revenue,2024-07-25,total_revenue,196.0
daily_revenue,2024-07-25,total_orders,1.0
daily_revenue,2024-07-26,total_revenue,50.97
daily_revenue,2024-07-26,total_orders,1.0
daily_revenue,2024-07-27,total_revenue,79.0
daily_revenue,2024-07-27,total_orders,1.0
daily_revenue,2024-07-28,total_revenue,129.0
daily_revenue,2024-07-28,total_orders,1.0
daily_revenue,2024-07-29,total_revenue,749.99
daily_revenue,2024-07-29,total_orders,1.0
daily_revenue,2024-07-30,total_revenue,339.98
daily_revenue,2024-07-30,total_orders,1.0
daily_revenue,2024-07-31,total_revenue,39.6
daily_revenue,2024-07-31,total_orders,1.0
daily_revenue,2024-08-01,total_revenue,32.97
daily_revenue,2024-08-01,total_orders,1.0
daily_revenue,2024-08-02,total_revenue,58.0
daily_revenue,2024-08-02,total_orders,1.0
daily_revenue,2024-08-03,total_revenue,349.99
daily_revenue,2024-08-03,total_orders,1.0
daily_revenue,2024-08-04,total_revenue,2399.0
daily_revenue,2024-08-04,total_orders,1.0
daily_revenue,2024-08-05,total_revenue,449.99
daily_revenue,2024-08-05,total_orders,1.0
daily_revenue,2024-08-06,total_revenue,149.97
daily_revenue,2024-08-06,total_orders,1.0
daily_revenue,2024-08-07,total_revenue,25.98
daily_revenue,2024-08-07,total_orders,1.0
daily_revenue,2024-08-08,total_revenue,27.0
daily_revenue,2024-08-08,total_orders,1.0
daily_revenue,2024-08-09,total_revenue,599.99
daily_revenue,2024-08-09,total_orders,1.0
daily_revenue,2024-08-10,total_revenue,199.96
daily_revenue,2024-08-10,total_orders,1.0
daily_revenue,2024-08-11,total_revenue,459.98
daily_revenue,2024-08-11,total_orders,1.0
daily_revenue,2024-08-12,total_revenue,89.98
daily_revenue,2024-08-12,total_orders,1.0
daily_revenue,2024-08-13,total_revenue,80.97
daily_revenue,2024-08-13,total_orders,1.0
daily_revenue,2024-08-14,total_revenue,6.7
daily_revenue,2024-08-14,total_orders,1.0
daily_revenue,2024-08-15,total_revenue,299.9
daily_revenue,2024-08-15,total_orders,1.0
daily_revenue,2024-08-16,total_revenue,169.0
daily_revenue,2024-08-16,total_orders,1.0
daily_revenue,2024-08-17,total_revenue,599.0
daily_revenue,2024-08-17,total_orders,1.0
daily_revenue,2024-08-18,total_revenue,259.96
daily_revenue,2024-08-18,total_orders,1.0
daily_revenue,2024-08-19,total_revenue,19.98
daily_revenue,2024-08-19,total_orders,1.0
daily_revenue,2024-08-20,total_revenue,24.0
daily_revenue,2024-08-20,total_orders,1.0
daily_revenue,2024-08-21,total_revenue,98.85
daily_revenue,2024-08-21,total_orders,1.0
daily_revenue,2024-08-22,total_revenue,299.0
daily_revenue,2024-08-22,total_orders,1.0
daily_revenue,2024-08-23,total_revenue,159.99
daily_revenue,2024-08-23,total_orders,1.0
daily_revenue,2024-08-24,total_revenue,270.0
daily_revenue,2024-08-24,total_orders,1.0
daily_revenue,2024-08-25,total_revenue,32.97
daily_revenue,2024-08-25,total_orders,1.0
daily_revenue,2024-08-26,total_revenue,55.0
daily_revenue,2024-08-26,total_orders,1.0
daily_revenue,2024-08-27,total_revenue,59.98
daily_revenue,2024-08-27,total_orders,1.0
daily_revenue,2026-06-01,total_revenue,66.0
daily_revenue,2026-06-01,total_orders,2.0
daily_revenue,2026-06-02,total_revenue,66.0
daily_revenue,2026-06-02,total_orders,2.0
daily_revenue,2026-06-03,total_revenue,235.0
daily_revenue,2026-06-03,total_orders,2.0
daily_revenue,2026-06-04,total_revenue,184.0
daily_revenue,2026-06-04,total_orders,2.0
daily_revenue,2026-06-05,total_revenue,95.0
daily_revenue,2026-06-05,total_orders,2.0
daily_revenue,2026-06-14,total_revenue,2.0
daily_revenue,2026-06-14,total_orders,2.0
revenue_by_category,Electronics,total_revenue,35258.41
revenue_by_category,Electronics,total_orders,44.0
revenue_by_category,Home Appliances,total_revenue,18646.16
revenue_by_category,Home Appliances,total_orders,40.0
revenue_by_category,Sports,total_revenue,14326.52
revenue_by_category,Sports,total_orders,40.0
revenue_by_category,Clothing,total_revenue,8128.93
revenue_by_category,Clothing,total_orders,40.0
revenue_by_category,Beauty Products,total_revenue,2621.9
revenue_by_category,Beauty Products,total_orders,40.0
revenue_by_category,Books,total_revenue,1861.93
revenue_by_category,Books,total_orders,40.0
revenue_by_category,Home,total_revenue,180.0
revenue_by_category,Home,total_orders,2.0
revenue_by_category,Fashion,total_revenue,156.0
revenue_by_category,Fashion,total_orders,3.0
revenue_by_category,Beauty,total_revenue,34.0
revenue_by_category,Beauty,total_orders,1.0
revenue_by_category,Documentation,total_revenue,2.0
revenue_by_category,Documentation,total_orders,2.0
order_status_summary,Completed,total_orders,203.0
order_status_summary,Completed,total_revenue,68241.75
order_status_summary,Pending,total_orders,35.0
order_status_summary,Pending,total_revenue,11083.31
order_status_summary,Cancelled,total_orders,14.0
order_status_summary,Cancelled,total_revenue,1890.79
top_products,Canon EOS R5 Camera,total_revenue,3899.99
top_products,Canon EOS R5 Camera,total_quantity,1.0
top_products,LG OLED TV,total_revenue,2599.98
top_products,LG OLED TV,total_quantity,2.0
top_products,MacBook Pro 16-inch,total_revenue,2499.99
top_products,MacBook Pro 16-inch,total_quantity,1.0
top_products,Apple MacBook Pro 16-inch,total_revenue,2399.0
top_products,Apple MacBook Pro 16-inch,total_quantity,1.0
top_products,iPhone 14 Pro,total_revenue,1999.98
top_products,iPhone 14 Pro,total_quantity,2.0
top_products,Peloton Bike,total_revenue,1895.0
top_products,Peloton Bike,total_quantity,1.0
top_products,HP Spectre x360 Laptop,total_revenue,1599.99
top_products,HP Spectre x360 Laptop,total_quantity,1.0
top_products,Roomba i7+,total_revenue,1599.98
top_products,Roomba i7+,total_quantity,2.0
top_products,Garmin Forerunner 945,total_revenue,1599.97
top_products,Garmin Forerunner 945,total_quantity,3.0
top_products,Samsung Odyssey G9 Gaming Monitor,total_revenue,1499.99
top_products,Samsung Odyssey G9 Gaming Monitor,total_quantity,1.0
top_products,Samsung Galaxy Tab S8,total_revenue,1499.98
top_products,Samsung Galaxy Tab S8,total_quantity,2.0
top_products,Microsoft Surface Laptop 4,total_revenue,1299.99
top_products,Microsoft Surface Laptop 4,total_quantity,1.0
top_products,Apple MacBook Air,total_revenue,1199.99
top_products,Apple MacBook Air,total_quantity,1.0
top_products,Samsung QLED 4K TV,total_revenue,1199.99
top_products,Samsung QLED 4K TV,total_quantity,1.0
top_products,Blueair Classic 480i,total_revenue,1199.98
top_products,Blueair Classic 480i,total_quantity,2.0
top_products,Apple iPad Air,total_revenue,1199.98
top_products,Apple iPad Air,total_quantity,2.0
top_products,Apple Watch Series 8,total_revenue,1199.97
top_products,Apple Watch Series 8,total_quantity,3.0
top_products,Dyson Supersonic Hair Dryer,total_revenue,1199.97
top_products,Dyson Supersonic Hair Dryer,total_quantity,3.0
top_products,GoPro HERO10 Black,total_revenue,1199.97
top_products,GoPro HERO10 Black,total_quantity,3.0
top_products,Sony WH-1000XM4 Headphones,total_revenue,1049.97
top_products,Sony WH-1000XM4 Headphones,total_quantity,3.0
top_products,Garmin Fenix 6X Pro,total_revenue,999.99
top_products,Garmin Fenix 6X Pro,total_quantity,1.0
top_products,Google Pixel 6 Pro,total_revenue,899.99
top_products,Google Pixel 6 Pro,total_quantity,1.0
top_products,De'Longhi Magnifica Espresso Machine,total_revenue,899.99
top_products,De'Longhi Magnifica Espresso Machine,total_quantity,1.0
top_products,Bose SoundLink Revolve+ Speaker,total_revenue,899.97
top_products,Bose SoundLink Revolve+ Speaker,total_quantity,3.0
top_products,Nintendo Switch,total_revenue,899.97
top_products,Nintendo Switch,total_quantity,3.0
top_products,Canon EOS Rebel T7i DSLR Camera,total_revenue,749.99
top_products,Canon EOS Rebel T7i DSLR Camera,total_quantity,1.0
top_products,Samsung Odyssey G7 Gaming Monitor,total_revenue,699.99
top_products,Samsung Odyssey G7 Gaming Monitor,total_quantity,1.0
top_products,Bowflex SelectTech 1090 Adjustable Dumbbells,total_revenue,699.99
top_products,Bowflex SelectTech 1090 Adjustable Dumbbells,total_quantity,1.0
top_products,Shark IQ Robot Vacuum,total_revenue,699.98
top_products,Shark IQ Robot Vacuum,total_quantity,2.0
top_products,Fitbit Versa 3,total_revenue,689.85
top_products,Fitbit Versa 3,total_quantity,3.0
top_products,Eufy RoboVac 11S,total_revenue,659.97
top_products,Eufy RoboVac 11S,total_quantity,3.0
top_products,Google Pixelbook Go,total_revenue,649.99
top_products,Google Pixelbook Go,total_quantity,1.0
