product_name,total_revenue,total_quantity
Adidas Originals Trefoil Hoodie,259.96,4
YETI Hopper Flip Portable Cooler,249.99,1
Amazon Echo Show 10,249.99,1
Titleist Pro V1 Golf Balls,249.95,5
Tommy Hilfiger Polo Shirt,249.95,5
Uniqlo Ultra Light Down Jacket,239.97,3
Puma Suede Classic Sneakers,239.96,4
Columbia Fleece Jacket,239.96,4
Anker PowerCore Portable Charger,239.96,4
Yeti Rambler Tumbler,239.94,6
Under Armour HOVR Sonic 4 Shoes,219.98,2
Rogue Fitness Kettlebell,209.97,3
Levi's 501 Jeans,209.97,3
Nespresso VertuoPlus,199.99,1
Cuisinart Custom 14-Cup Food Processor,199.99,1
Logitech G Pro X Wireless Gaming Headset,199.99,1
Yeti Roadie 24 Cooler,199.99,1
Logitech MX Master 3 Mouse,199.98,2
Amazon Echo Dot (4th Gen),199.96,4
Breville Smart Coffee Grinder Pro,199.95,1
Fitbit Inspire 2,199.9,2
Levi's Sherpa Trucker Jacket,196.0,2
Lululemon Wunder Under High-Rise Leggings,196.0,2
La Mer Crème de la Mer Moisturizer,190.0,1
Monitor,180.0,1
Instant Pot Duo Crisp,179.99,1
Panasonic NN-SN966S Microwave,179.99,1
Levi's Trucker Jacket,179.98,2
Levi's 511 Slim Fit Jeans,179.97,3
Gap 1969 Original Fit Jeans,179.97,3
Zara Summer Dress,179.97,3
TRX All-in-One Suspension Training System,169.95,1
Google Nest Wifi Router,169.0,1
Nike Sportswear Club Fleece Hoodie,164.97,3
Nespresso Vertuo Next Coffee and Espresso Maker,159.99,1
Cuisinart Griddler Deluxe,159.99,1
Keurig K-Mini Coffee Maker,159.98,2
Hydro Flask Wide Mouth Water Bottle,159.8,4
Office Chair,150.0,2
Gap High Rise Skinny Jeans,149.97,3
Yeti Rambler Bottle,149.97,3
Amazon Fire TV Stick 4K,149.97,3
Champion Reverse Weave Hoodie,149.97,3
Calvin Klein Boxer Briefs,149.95,5
Wilson Evolution Basketball,149.95,5
Under Armour HeatGear T-Shirt,149.95,5
Adidas 3-Stripes Shorts,149.95,5
Spalding NBA Street Basketball,149.94,6
Oakley Holbrook Sunglasses,146.0,1
Instant Pot Ultra,139.99,1
Nike Dri-FIT Training Shorts,139.96,4
Gap Crewneck Sweatshirt,139.96,4
Adidas Essential Track Pants,134.97,3
The Silent Patient by Alex Michaelides,134.95,5
Becoming by Michelle Obama,130.0,4
Chanel No. 5 Perfume,129.99,1
Bose SoundLink Color Bluetooth Speaker II,129.0,1
Tom Ford Black Orchid Perfume,125.0,1
H&M Slim Fit Jeans,119.97,3
Gap Essential Crewneck T-Shirt,119.94,6
"Salt, Fat, Acid, Heat by Samin Nosrat",107.97,3
Sunday Riley Good Genes,105.0,1
Estee Lauder Advanced Night Repair,105.0,1
Nike Tempo Running Shorts,104.97,3
Lancome La Vie Est Belle,102.0,1
Charlotte Tilbury Magic Cream,100.0,1
Ninja Professional Blender,99.99,1
Ring Video Doorbell,99.99,1
Crock-Pot 6-Quart Slow Cooker,99.98,2
Under Armour Tech 2.0 T-Shirt,99.96,4
Instant Pot Duo Nova,99.95,1
Hanes ComfortSoft T-Shirt,99.9,10
Hydro Flask Standard Mouth Water Bottle,98.85,3
Hamilton Beach FlexBrew Coffee Maker,89.99,1
Neutrogena Skincare Set,89.99,1
Old Navy Mid-Rise Rockstar Super Skinny Jeans,89.98,2
Adidas FIFA World Cup Football,89.97,3
The Catcher in the Rye by J.D. Salinger,88.93,7
Educated by Tara Westover,84.0,3
Kiehl's Midnight Recovery Concentrate,82.0,1
L'Oreal Revitalift Serum,79.98,2
1984 by George Orwell,79.96,4
Caudalie Vinoperfect Radiance Serum,79.0,1
Drunk Elephant C-Firma Day Serum,78.0,1
Where the Crawdads Sing by Delia Owens,75.96,4
Harry Potter and the Sorcerer's Stone,74.97,3
Dune by Frank Herbert,71.96,4
TriggerPoint GRID Foam Roller,69.98,2
Tatcha The Water Cream,68.0,1
First Aid Beauty Ultra Repair Cream,68.0,2
Atomic Habits by James Clear,67.96,4
Jacket,65.0,1
Forever 21 Graphic Tee,64.95,5
The Da Vinci Code,63.96,4
Yeti Rambler 20 oz Tumbler,59.98,2
Old Navy Relaxed-Fit T-Shirt,59.96,4
To Kill a Mockingbird by Harper Lee,59.96,4
Uniqlo Airism Mesh Boxer Briefs,59.6,4
GlamGlow Supermud Clearing Treatment,59.0,1
L'Occitane Shea Butter Hand Cream,58.0,2
Sunday Riley Luna Sleeping Night Oil,55.0,1
Sneakers,55.0,1
The Girl with the Dragon Tattoo by Stieg Larsson,52.95,5
Dr. Jart+ Cicapair Tiger Grass Color Correcting Treatment,52.0,1
Clinique Moisture Surge,52.0,1
Keyboard,51.0,2
The Great Alone by Kristin Hannah,50.97,3
Olay Regenerist Face Cream,49.99,1
Shiseido Ultimate Sun Protector,49.0,1
Anastasia Beverly Hills Brow Wiz,46.0,2
Gone Girl by Gillian Flynn,45.98,2
The Subtle Art of Not Giving a F*ck by Mark Manson,44.97,3
The Alchemist by Paulo Coelho,44.97,3
The Girl on the Train by Paula Hawkins,43.96,4
Uniqlo Airism Seamless Boxer Briefs,39.6,4
Pride and Prejudice by Jane Austen,38.97,3
The Hobbit by J.R.R. Tolkien,38.97,3
Sapiens: A Brief History of Humankind by Yuval Noah Harari,37.98,2
Fenty Beauty Killawatt Highlighter,36.0,1
T-Shirt,36.0,3
Youth to the People Superfood Antioxidant Cleanser,36.0,1
The Sun Also Rises by Ernest Hemingway,35.97,3
The Hunger Games by Suzanne Collins,35.96,4
Face Wash,34.0,4
The Night Circus by Erin Morgenstern,33.98,2
The Outsiders by S.E. Hinton,32.97,3
The Handmaid's Tale by Margaret Atwood,32.97,3
Glossier Boy Brow,32.0,2
Desk Lamp,30.0,1
NARS Radiant Creamy Concealer,30.0,1
USB-C Cable,30.0,5
MAC Ruby Woo Lipstick,29.99,1
CeraVe Hydrating Facial Cleanser,29.98,2
The Goldfinch by Donna Tartt,29.98,2
Think and Grow Rich by Napoleon Hill,29.97,3
Paula's Choice Skin Perfecting 2% BHA Liquid Exfoliant,29.5,1
Clinique Dramatically Different Moisturizing Lotion,29.5,1
Tarte Shape Tape Concealer,27.0,1
The Martian by Andy Weir,25.98,2
The Nightingale by Kristin Hannah,25.98,2
The Power of Now by Eckhart Tolle,25.98,2
Laneige Water Sleeping Mask,25.0,1
Fresh Sugar Lip Treatment,24.0,1
The Power of Habit by Charles Duhigg,23.98,2
The Road by Cormac McCarthy,23.98,2
The Art of War by Sun Tzu,23.97,3
The Great Gatsby by F. Scott Fitzgerald,21.98,2
Glossier Cloud Paint,18.0,1
The Four Agreements by Don Miguel Ruiz,17.98,2
Neutrogena Hydro Boost Water Gel,16.99,1
Mouse,15.0,1
Biore UV Aqua Rich Watery Essence Sunscreen,15.0,1
The Ordinary Hyaluronic Acid Serum,6.8,1
The Ordinary Caffeine Solution 5% + EGCG,6.7,1
The Ordinary Niacinamide Serum,6.5,1
Docs Success Row,2.0,2
